id,title,contentEn,contentSw,needs_translation
herb-the-most-important-herbs,The Most Important Herbs,"A rather complete discussion of herbs had been planned for this book, but it will not be included for three reasons: First, there are many worthwhile herb books available. Second, to cover the subject properly (herbal preparation, properties, and contraindications) would require at least 75 pages, and this book is already too big now. But it did seem well to list the most important herbs and mention a few other basic facts. One problem with herbs is that few of us can afford to keep more than a small collection of them on hand. Since they are not used a lot, purchasing could be a problem, since they are likely to spoil before we used them up. So it would be well to know which ones are the most important! Here is a list prepared by the present writer. Read it, change the list around to suit your own family needs,—and then stock up on a few beneficial herbs, so you will have them on hand when you need them most. HERE ARE THE 12, 20, 50, AND 60 MOST IMPORTANT HERBS:","Majadiliano kamili ya mimea yalikuwa yamepangwa kwa kitabu hiki, lakini haitajumuishwa kwa sababu tatu: kwanza, kuna vitabu vingi vya mimea vinavyopatikana. Pili, kufunika mada vizuri (maandalizi ya mitishamba, mali, na contraindication) itahitaji angalau kurasa 75, na kitabu hiki tayari ni kubwa sana sasa. Lakini ilionekana vizuri kuorodhesha mimea muhimu zaidi na kutaja ukweli mwingine wa msingi. Shida moja na mimea ni kwamba wachache wetu wanaweza kumudu kuweka zaidi ya mkusanyiko mdogo wao. Kwa kuwa hazitumiwi sana, ununuzi unaweza kuwa shida, kwani wanaweza kuharibu kabla hatujazitumia. Kwa hivyo itakuwa vizuri kujua ni ipi muhimu zaidi! Hapa kuna orodha iliyoandaliwa na mwandishi wa sasa. Soma, ubadilishe orodha ili kuendana na mahitaji ya familia yako mwenyewe, - kisha uweke mimea michache yenye faida, kwa hivyo utakuwa nazo wakati unazihitaji zaidi. Hapa kuna mimea 12, 20, 50, na 60 muhimu zaidi:",yes
herb-most-important-herbs,Most Important Herbs,"1 - CHARCOAL—This is not an herb, yet it is invaluable in a number of ways. Charcoal is pure carbon, and will adsorb (not absorb) 29 of the 30 most dangerous poisons. You can drink it diluted in water, use it as a poultice on wounds, skin infections, etc. 2 - CAYENNE—Dr. Christopher, a well-known herbalist of the mid-20th century, said that if he only had two herbs, he would select charcoal and cayenne. Cayenne is powerful in its ability to attract blood to a body part. Since it is the blood which brings healing, this can be an important quality. Internally, it is useful for arteriosclerosis, arthritis, asthma, bleeding, high or low blood pressure, bronchitis, chills, colds, convulsions, coughs, indigestion, infections, jaundice, ulcers, and varicose veins. Externally, it is used for frostbite, painful joints, swellings, and varicose veins. When added to herbal formulas, it stimulates the action of other herbs. It is a preventative for heart attacks, flu, colds, indigestion, and lack of vitality. It is good for treating the spleen, pancreas, kidneys and is effective as a fomentation for rheumatism, inflammation, pleurisy, sores, and wounds. It can be rubbed on toothaches and swellings. 3 - GARLIC—This is one of the most powerful antiseptic substances ever discovered. In the 1950s, Soviet scientists found it to be equal to penicillin, yet without the harmful effects of that powerful drug. Internally, it is used for arteriosclerosis, cancer, contagious disease, coughs, cramps, diverticulitis, emphysema, gas, heart problems, high blood pressure, indigestion, liver congestion, parasites, rheumatism, sinus congestion, and ulcers. Externally, it is used for bowel problems, parasites, ringworm, skin parasites, tumors, warts, and yeast infections. Garlic is used for all lung and respiratory ailments, and can be used as a tea or added to syrups for coughs, colds, tuberculosis, fevers, and blood diseases. Use it as a tea in an enema for worms and bowel infections. Use the fresh extract oil or eat the raw cloves. 4 - GOLDENSEAL—This is another powerful antiseptic; and, in a sense, it is the first true herb on this list. (The first three can be purchased in the grocery store.) Internally, it is good for alcoholism, allergies, asthma, bad breath, bladder diseases, bronchitis, canker sores, chicken pox, colds, diabetes, eczema, bleeding gums or gum infections, hay fever, heart weakness, hemorrhoids, herpes, indigestion, infections, inflammations, leukorrhea, liver problems, lymph congestion, measles, mammary and ovarian tumors, morning sickness, sore mouth, pyorrhea, tonsillitis, and ulcers. Externally, it is used for burns, canker sores, eye inflammations, bleeding gums, gum infections, herpes sores, leukorrhea, mouth sores, ringworm, skin inflammation, tonsillitis, and wounds. Goldenseal can be used on open sores, inflammations, eczema, ringworm, erysipelas, or itchy skin conditions. It is a specific for all kinds of mucous membrane problems. Snuffed up the nose, it is good for nasal catarrh. Small doses will relieve nausea during pregnancy. It is a douche for vaginal infections, an eyewash, and an antiseptic mouthwash for pyorrhea. Used with cascara sagrada, it is a bowel tonic. As a retention enema, it will reduce swollen hemorrhoids. 5 - PEPPERMINT—This is an old household remedy, and is useful for a variety of conditions. Internally, it is useful for insomnia, measles, menstrual cramps, migraines, morning sickness, muscle spasms, nausea, nervous disorders, chills, colic, fevers, dizziness, gas, nausea, vomiting, diarrhea, dysentery, and hysteria. Externally, it is used for skin itch, toothache, and local anesthetic to local pains and inflamed joints. For example, to open up the sinuses, put 5-10 drops into 2 quarts hot water and breathe it in through the mouth and nostrils. Cover the head with a cloth as you do this. 6 - SLIPPERY ELM—This is the inner white bark of the slippery elm tree, and is invaluable to keep on hand. (The outer dark bark is also sold, but is useless.) Internally, it is used for bladder inflammation, bronchitis, colitis, constipation, ovarian cramps, coughs, cystitis, diarrhea, diverticulitis, dysentery, eczema, flu, gas, hemorrhage, hemorrhoids, hoarseness, lung congestion, stomach problems, tonsillitis, ulcers. Externally, it is used for burns, colitis, constipation, diverticulitis, dysentery, gangrenous wounds, hemorrhoids, leukorrhea, open sores, rheumatoid and gouty afflictions, and wounds. Slippery elm is also used to bind materials of suppositories, boluses, lozenges, and unleavened breads together. It makes a nourishing gruel for children, for the elderly with weak stomachs, for those with ulcers and those who are recovering from diseases. If used as a douche or enema, it must be diluted with water so it will not plug the apparatus (since it is a mucilaginous herb). 7 - LOBELIA—This is both a relaxant and stimulant, and a powerful helper. Internally, it is used for allergies, arthritis, asthma, bronchitis, chicken pox, contagious diseases, convulsions, coughs, earache, ear infections, fevers (all kinds), headache, heart palpitation, indigestion, jaundice, pleurisy, pneumonia, food poisoning, St. Vitus dance, teething, toothache. Externally, it is used for snake and insect bites, poison ivy, ringworm, and tumors. Small doses of a tincture of lobelia (5-10 drops) will act as a tonic and stimulant; larger doses will act as a sedative. It relieves spasms and acts as an expectorant. It can be used as a wash on infected or itchy skin conditions. In large doses, it is an excellent emetic. It is especially good in spasmodic coughing of phlegm. Taken in small doses, it relaxes the heart and lowers rapid pulse. 8 - ALOE VERA—The gel from the leaves of this desert plant is invaluable. It is best used freshly picked from a plant. Keep several plants growing; you cannot have enough! Internally, it is good for chronic constipation, gastritis, hyperacidity, and stomach ulcers. Externally, it is used for abscesses, burns, infection in wounds, insect bites, skin irritations, and ulcers. When applied on the skin for severe burns and skin rashes, it can be left on for two days without changing the application. Do not use it during pregnancy, nor in large doses when there are hemorrhoids. 9 - CASCARA SAGRADA—This is one of the safest laxatives for chronic constipation, and is not habit forming. Internally, it is used for constipation, cough, gall bladder disease, gallstones, gastric and intestinal disorders, hemorrhoids, indigestion, and jaundice. 10 - CORN SILK—This is the best single herb for increasing urine flow, thus helping to eliminate kidney and bladder problems. Internally, it is used for bed-wetting, chronic cystitis, inflammation of kidneys and bladder, kidney stones, prostatitis, excess uric acid, and urine retention. It is a good remedy for all inflammatory conditions of the urethra, bladder, prostate, and kidney; it can remove gravel from the kidneys, bladder and prostate. It helps the aged when their urine is scanty and has heavy sediment. 11 - HOPS—This is an excellent nervine and will produce sleep when insomnia is present. But it also has other uses. Internally, it is used for coughs, fever, headaches, indigestion, insomnia, jaundice, morning sickness, weak nerves, stomach tonic, throat, bronchial tubes, chest ailments, toothache, and ulcers. Externally, it is used for boils, bruises, earaches, inflammations, rheumatic pains, skin ailments, and ulcers. The tea is good for nervous stomach, poor appetite, gas, and intestinal cramps. Cold tea before meals will increase digestion. The dry herb can be placed inside a pillow; it will induce sleep. 12 - WITCH HAZEL—This is an excellent astringent herb and is one of the best remedies for stopping excessive menstruation, hemorrhages from the lungs, stomach, uterus, and bowels. Internally, it is used for diarrhea, diphtheria, hemorrhoids, leukorrhea, prolapsed bowel, varicose veins, and uterine problems. It is used to stop bleeding from the lungs, uterus, and other internal organs. Externally, it is used for burns, bruises, diphtheria, insect bites, leukorrhea, sore breasts, sore muscles, tonsillitis, and varicose veins. Witch hazel can be used as an injection for bleeding piles, vaginal discharges, and infections. As either fomentation or poultice, it is good for wounds, bed sores, sore and inflamed eyes, and oozing skin diseases. It is good for almost any internal or external inflamed condition.","1 - Mkaa -huu sio mimea, lakini ni muhimu sana kwa njia kadhaa. Mkaa ni kaboni safi, na adsorb (sio kunyonya) 29 kati ya sumu 30 hatari zaidi. Unaweza kunywa ndani ya maji, utumie kama kuku kwenye majeraha, maambukizo ya ngozi, nk 2 - Cayenne -DR. Christopher, mtaalam anayejulikana wa mimea ya katikati ya karne ya 20, alisema kwamba ikiwa alikuwa na mimea miwili tu, angechagua mkaa na Cayenne. Cayenne ana nguvu katika uwezo wake wa kuvutia damu kwa sehemu ya mwili. Kwa kuwa ni damu ambayo huleta uponyaji, hii inaweza kuwa ubora muhimu. Kwa ndani, ni muhimu kwa arteriosclerosis, arthritis, pumu, kutokwa na damu, shinikizo la damu ya juu au ya chini, bronchitis, baridi, homa, mshtuko, kikohozi, kumeza, maambukizo, jaundice, vidonda, na mishipa ya varicose. Kwa nje, hutumiwa kwa frostbite, viungo vyenye chungu, uvimbe, na mishipa ya varicose. Inapoongezwa kwa formula za mitishamba, huchochea hatua ya mimea mingine. Ni kinga ya mshtuko wa moyo, homa, homa, kumeza, na ukosefu wa nguvu. Ni vizuri kwa kutibu wengu, kongosho, figo na ni bora kama fomentation kwa rheumatism, uchochezi, pleurisy, vidonda, na majeraha. Inaweza kusuguliwa kwenye maumivu ya meno na uvimbe. 3 - Vitunguu - hii ni moja ya vitu vyenye nguvu zaidi vya antiseptic vilivyowahi kugunduliwa. Mnamo miaka ya 1950, wanasayansi wa Soviet waliona ni sawa na penicillin, lakini bila athari mbaya ya dawa hiyo yenye nguvu. Kwa ndani, hutumiwa kwa arteriosclerosis, saratani, ugonjwa unaoambukiza, kikohozi, tumbo, diverticulitis, emphysema, gesi, shida za moyo, shinikizo la damu, kumeza, msongamano wa ini, vimelea, rheumatism, msongamano wa sinus, na vidonda. Kwa nje, hutumiwa kwa shida za matumbo, vimelea, minyoo, vimelea vya ngozi, tumors, vitunguu, na maambukizo ya chachu. Vitunguu hutumiwa kwa magonjwa yote ya mapafu na ya kupumua, na yanaweza kutumika kama chai au kuongezwa kwa syrups kwa kikohozi, homa, kifua kikuu, magonjwa, na magonjwa ya damu. Tumia kama chai katika enema ya minyoo na maambukizo ya matumbo. Tumia mafuta safi ya dondoo au kula karafuu mbichi. 4 - Goldenseal -Hii ni antiseptic nyingine yenye nguvu; Na, kwa maana, ni mimea ya kwanza ya kweli kwenye orodha hii. . Shida za ini, msongamano wa lymph, surua, tumors ya mammary na ovari, ugonjwa wa asubuhi, mdomo wa kidonda, pyorrhea, tonsillitis, na vidonda. Kwa nje, hutumiwa kwa kuchoma, vidonda vya canker, kuvimba kwa jicho, ufizi wa damu, maambukizo ya ufizi, vidonda vya herpes, leukorrhea, vidonda vya mdomo, minyoo, uchochezi wa ngozi, tonsillitis, na vidonda. Goldenseal inaweza kutumika kwenye vidonda wazi, uchochezi, eczema, pete, erysipelas, au hali ya ngozi. Ni maalum kwa kila aina ya shida za membrane ya mucous. Kufungiwa pua, ni nzuri kwa catarrh ya pua. Dozi ndogo zitapunguza kichefuchefu wakati wa ujauzito. Ni douche ya maambukizo ya uke, macho ya macho, na kinywa cha antiseptic kwa pyorrhea. Kutumika na Cascara Sagrada, ni tonic ya matumbo. Kama enema ya kutunza, itapunguza hemorrhoids kuvimba. 5 - Peppermint -Hii ni suluhisho la zamani la kaya, na ni muhimu kwa hali tofauti. Kwa ndani, ni muhimu kwa kukosa usingizi, surua, tumbo la hedhi, migraines, ugonjwa wa asubuhi, spasms za misuli, kichefuchefu, shida za neva, baridi, colic, fevers, kizunguzungu, gesi, kichefuchefu, kutapika, kuhara, ugonjwa wa meno, na ugonjwa wa hysteria. Kwa nje, hutumiwa kwa kuwasha ngozi, maumivu ya meno, na anesthetic ya ndani kwa maumivu ya ndani na viungo vilivyochomwa. Kwa mfano, kufungua sinuses, weka matone 5-10 ndani ya maji 2 ya moto na kuipumua kupitia mdomo na pua. Funika kichwa na kitambaa unapofanya hivi. 6 - Slippery Elm -Hii ndio gome nyeupe ya ndani ya mti wa elm unaoteleza, na ni muhimu sana kuweka mkono. . vidonda. Kwa nje, hutumiwa kwa kuchoma, colitis, kuvimbiwa, diverticulitis, ugonjwa wa meno, majeraha ya gangrenous, hemorrhoids, leukorrhea, vidonda wazi, rheumatoid na shida za gouty, na majeraha. Slippery",yes
herb-most-important-herbs,Most Important Herbs,"(A TOTAL OF TWENTY BASIC HERBS) Here are the next eight most important herbs. Added to the above, you will have the twenty most important herbs. 13 - CATNIP—This is wonderful for children and infants when gas, stomach cramps, or nervousness occur. This is the children's herb, but it is also helpful to grown-ups. Internally, it is used for colds, bronchitis, dizziness, fevers, gas, diarrhea, headaches, hysteria, insomnia, morning sickness, mumps, smallpox, and urine retention. Externally, it is used for constipation, mumps, and painful swellings. Use catnip as an enema to expel worms. Drink the tea for headaches caused by indigestion. 14 - COMFREY—This is an all-around good remedy. Internally, it is used for anemia, arthritis, asthma, internal bleeding, blood purifier, bronchitis, calcium deficiency, colitis, coughs, diarrhea, dysentery, emphysema, gall bladder inflammation. Externally, it is used for boils, bruises, burns, psoriasis, and sprains. Comfrey is excellent for dysentery; one of the best for internal bleeding; excellent for coughs; catarrh; ulcerated bowels, stomach, and lungs. Bruise the fresh leaves and apply as a poultice to wounds, burns, open sores, gangrene, and moist ulcers. The tea can also be put on them. Keep some growing in your garden. Once established, it will keep coming up year after year. 15 - ECHINACEA—This is a powerful blood cleanser, and is tolerated by the system in fairly large amounts. Internally, it is used for acne, bad breath, bladder infections, blood poisoning, blood purifier, boils, fevers, gangrene, infections, inflammation of mammary glands, intestinal antiseptic, leukopenia (reduction in blood leukocytes), lymphatic congestion, skin diseases, tonsillitis, uremic poisoning, and venereal disease. Externally, it is used for open wounds and painful swellings. Echinacea is an excellent antibiotic, and ranks with goldenseal and red clover. It has been used against syphilis and gonorrhea. 16 - FLAXSEED—This is even more mucilaginous than slippery elm and is good for a variety of problems. Internally, it is used for asthma, bronchitis, catarrh, constipation, coughs, diarrhea, enteritis, flatulence, hemorrhoids, lung and chest problems, pleurisy, and stomach ulcers. In poultices, flaxseed is excellent for sores, boils, inflammations, and tumors. Combine it with slippery elm for boils, oozing sores, and burns. It is also good for all intestinal inflammations. 17 - GINGER—This is good for bringing heat into the system, stimulating digestion, reversing suppressed menstruation, and scanty urine. Internally, it is used for colds, colon spasms, constipation, contagious diseases, coughs, cramps, indigestion, gas, headache, morning sickness, nausea, sinus congestion, and stomach spasms. Externally, it is used for mumps. Add it to laxative formulas to prevent griping. Taken in frequent doses, it will raise body temperature. 18 - MYRRH—This is a strong antiseptic, and works well with goldenseal. Mix them in equal parts. Internally, it is used for asthma, bad breath, boils, cankers, chronic catarrh, colitis, coughs, digestive tonic, bleeding gums, herpes, indigestion, infections, leukorrhea, mouth sores, skin disease, thrush, and ulcers. Externally, it is used for cankers, cuts, bleeding gums, leukorrhea, mouth sores, skin disease, thrush, and wounds. Myrrh destroys putrefaction in the intestines and prevents blood absorption of toxins. It is a good wash for wounds and skin diseases. The powder will dry up most skin problems. It is excellent for most problems involving pus, externally or internally. Do not use it in large amounts over a long period of time. 19 - SKULLCAP—This is very good for almost any nervous problem. Internally, it is used for alcoholism, convulsions, coughs, epilepsy, hysteria, indigestion, insanity, insomnia, nervous tension, and nervous headache. Skullcap has been used to wean people off hard drugs. Combined with ginseng, it is good for alcoholism. Skullcap should be used as fresh as possible, otherwise its activity rather quickly dissipates. 20 - VERVAIN—This is excellent for inducing sweating and to allay fevers (but large amounts will act as an emetic). Internally, it is used for colds, convulsions, coughs, fevers, headaches, measles, nerve weakness, pain in the bowels, and pleurisy. Externally, it is used for rheumatism, neuralgia, sciatica, and swellings of the spleen. Vervain is good for pneumonia, asthma, and other chest diseases. Put the tea on sores, to aid in healing. Use it for colds, flu, coughs, and upper respiratory inflammations. Now you have the basis for a fine, basic herbal cabinet! Twelve or twenty herbs are good numbers to work with, in keeping your basic herb supply small. If you wish, subtract some from the above list, add more from the following list, or change the list around to meet your special needs. Few of us are in a position to keep a large variety of herbs on hand.","(Jumla ya mimea ishirini ya msingi) hapa kuna mimea nane muhimu zaidi. Imeongezwa hapo juu, utakuwa na mimea ishirini zaidi. 13 - Catnip -Hii ni nzuri kwa watoto na watoto wachanga wakati gesi, tumbo, au ugonjwa wa neva hufanyika. Hii ndio mimea ya watoto, lakini pia inasaidia kuwa watu wazima. Kwa ndani, hutumiwa kwa homa, bronchitis, kizunguzungu, fevers, gesi, kuhara, maumivu ya kichwa, ugonjwa wa maumivu, ugonjwa wa kukosa usingizi, ugonjwa wa asubuhi, mumps, ndui, na uhifadhi wa mkojo. Kwa nje, hutumiwa kwa kuvimbiwa, matundu, na uvimbe wenye uchungu. Tumia Catnip kama enema kufukuza minyoo. Kunywa chai kwa maumivu ya kichwa yanayosababishwa na kumeza. 14 - Comfrey -Hii ni suluhisho nzuri karibu. Kwa ndani, hutumiwa kwa anemia, arthritis, pumu, kutokwa na damu ndani, utakaso wa damu, bronchitis, upungufu wa kalsiamu, colitis, kikohozi, kuhara, ugonjwa wa meno, emphysema, uchochezi wa kibofu cha nduru. Kwa nje, hutumiwa kwa majipu, michubuko, kuchoma, psoriasis, na sprains. Comfrey ni bora kwa ugonjwa wa meno; moja ya bora kwa kutokwa na damu ya ndani; Bora kwa kikohozi; catarrh; Matumbo ya vidonda, tumbo, na mapafu. Boresha majani safi na kutumika kama kuku kwa majeraha, kuchoma, vidonda wazi, gangrene, na vidonda vyenye unyevu. Chai pia inaweza kuwekwa juu yao. Weka ukuaji katika bustani yako. Mara tu ikiwa imeanzishwa, itaendelea kuja mwaka baada ya mwaka. 15 - Echinacea -Hii ni safi ya damu, na inavumiliwa na mfumo kwa kiwango kikubwa. Kwa ndani, hutumiwa kwa chunusi, pumzi mbaya, maambukizo ya kibofu cha mkojo, sumu ya damu, utakaso wa damu, majipu, fevers, gangrene, maambukizo, uchochezi wa tezi za mamalia, antiseptic ya matumbo, leukopenia (kupunguzwa kwa leukocytes ya damu), ugonjwa wa ugonjwa wa ngozi, ugonjwa wa ngozi, ugonjwa wa ngozi, ugonjwa wa ngozi, ugonjwa wa ngozi, ugonjwa wa ugonjwa wa ngozi, ugonjwa wa ugonjwa wa ngozi, ugonjwa wa ugonjwa wa ngozi, ugonjwa wa ugonjwa wa ngozi, ugonjwa wa ugonjwa wa ngozi, ugonjwa wa sumu, ugonjwa wa ugonjwa wa ugonjwa wa ugonjwa wa lymphatic. Kwa nje, hutumiwa kwa majeraha ya wazi na uvimbe wenye uchungu. Echinacea ni dawa bora ya dawa, na safu iliyo na Goldenseal na Red Clover. Imetumika dhidi ya syphilis na kisonono. 16 - Flaxseed -Hii ni mucilaginous zaidi kuliko Elm ya kuteleza na ni nzuri kwa shida mbali mbali. Kwa ndani, hutumiwa kwa pumu, bronchitis, catarrh, kuvimbiwa, kikohozi, kuhara, ertitis, gorofa, hemorrhoids, shida za mapafu na kifua, vidonda vya tumbo, na vidonda vya tumbo. Katika poultices, flaxseed ni bora kwa vidonda, majipu, uchochezi, na tumors. Kuchanganya na elm ya kuteleza kwa majipu, vidonda vya kuoka, na kuchoma. Pia ni nzuri kwa uchochezi wote wa matumbo. 17 - Tangawizi -Hii ni nzuri kwa kuleta joto ndani ya mfumo, kuchochea digestion, kubadili hedhi iliyokandamizwa, na mkojo mdogo. Kwa ndani, hutumiwa kwa homa, spasms za koloni, kuvimbiwa, magonjwa ya kuambukiza, kikohozi, tumbo, kumeza, gesi, maumivu ya kichwa, ugonjwa wa asubuhi, kichefuchefu, msongamano wa sinus, na spasms za tumbo. Kwa nje, hutumiwa kwa mumps. Ongeza kwa fomula za laxative ili kuzuia ujanja. Ikichukuliwa kwa kipimo cha mara kwa mara, itaongeza joto la mwili. 18 - Myrrh -Hii ni antiseptic yenye nguvu, na inafanya kazi vizuri na Goldenseal. Mchanganye katika sehemu sawa. Kwa ndani, hutumiwa kwa pumu, pumzi mbaya, majipu, vifusi, catarrh sugu, colitis, kikohozi, tonic ya kumengenya, ufizi wa damu, herpes, kumeza, maambukizo, leukorrhea, vidonda vya mdomo, ugonjwa wa ngozi, kutu, na vidonda. Kwa nje, hutumiwa kwa vifungo, kupunguzwa, ufizi wa kutokwa na damu, leukorrhea, vidonda vya mdomo, ugonjwa wa ngozi, kutu, na majeraha. Myrrh huharibu utaftaji wa matumbo na huzuia kunyonya damu kwa sumu. Ni safisha nzuri kwa majeraha na magonjwa ya ngozi. Poda itakauka shida nyingi za ngozi. Ni bora kwa shida nyingi zinazojumuisha PU, nje au ndani. Usitumie kwa kiasi kikubwa kwa muda mrefu. 19 - Fuvu -hii ni nzuri sana kwa karibu shida yoyote ya neva. Kwa ndani, hutumiwa kwa ulevi, mshtuko, kikohozi, kifafa, ugonjwa wa mwili, kumeza, ujinga, kukosa usingizi, mvutano wa neva, na maumivu ya kichwa. Skullcap imetumika kuwachosha watu kwenye dawa ngumu. Imechanganywa na ginseng, ni nzuri kwa ulevi. Skullcap inapaswa kutumiwa safi iwezekanavyo, vinginevyo shughuli zake badala ya haraka hutengana. 20 - Vervain -Hii ni bora kwa kushawishi jasho na kwa kutuliza (lakini kiasi kikubwa kitafanya kama emetic). Kwa ndani, hutumiwa kwa homa, kutetemeka, kukohoa, fevers, maumivu ya kichwa, surua, udhaifu wa ujasiri, maumivu kwenye matumbo, na laini. Kwa nje, hutumiwa kwa rheumatism, neuralgia, sciatica, na uvimbe wa wengu. Vervain ni nzuri kwa pneumonia, pumu, na magonjwa mengine ya kifua. Weka chai kwenye vidonda, kusaidia katika HEA",yes
herb-most-important-herbs,Most Important Herbs,"(A TOTAL OF FIFTY BASIC HERBS) The above set of herbs deal with a wide variety of diseases, which a family might encounter. But there are special problems which one or more of the following would be needed for (example: eyebright for the eyes; squaw vine and wild yam for female problems). Here are the next thirty most important herbs. This brings the total up to the fifty most important herbs.","(Jumla ya mimea ya msingi hamsini) seti ya hapo juu ya mimea hushughulikia magonjwa anuwai, ambayo familia inaweza kukutana nayo. Lakini kuna shida maalum ambazo moja au zaidi ya yafuatayo yangehitajika kwa (mfano: macho ya macho kwa macho; mzabibu wa squaw na yam mwitu kwa shida za kike). Hapa kuna mimea thelathini zaidi inayofuata. Hii inaleta jumla ya mimea hamsini muhimu zaidi.",yes
herb-barberry-pleurisy,Barberry Pleurisy,Black root cohosh Red clover,Mzizi mweusi Cohosh Red Clover,yes
herb-burdock-red,Burdock Red,root raspberry,Raspberry ya mizizi,yes
herb-chickweed-squaw,Chickweed Squaw,Cloves vine,Mzabibu wa karafuu,yes
herb-cramp-valerian,Cramp Valerian,bark White oak Dandelion bark,Bark White Oak Dandelion Bark,yes
herb-eyebright-wild,Eyebright Wild,Fenugreek cherry Licorice bark root Wild yam,Fenugreek cherry licorice bark mizizi mwitu,yes
herb-yellow,Yellow,dock,kizimbani,yes
